"input","z","raw_value","median","q05","q95"
"y_positive",0.5,2.33892869563476,-0.0584208935751757,-0.288837451161868,0.141562769566419
"y_positive",0.625,2.59951282485058,-0.0698298327263823,-0.312349945768954,0.142081764380638
"y_positive",0.75,2.8600969540664,-0.0823538617651368,-0.334703736884304,0.137098055543038
"y_positive",0.875,3.12068108328222,-0.0935884156575636,-0.362696340651218,0.147856099420423
"y_positive",1,3.38126521249804,-0.103845009499493,-0.385508833483501,0.154677683352036
"y_positive",1.125,3.64184934171385,-0.11413075576328,-0.406307395385046,0.164285661265504
"y_positive",1.25,3.90243347092967,-0.121757749386905,-0.436708871121788,0.174019104999878
"y_positive",1.375,4.16301760014549,-0.128339805612371,-0.458689276146178,0.186905123339813
"y_positive",1.5,4.42360172936131,-0.134657790933108,-0.481972081819404,0.198626418120588
"y_positive",1.625,4.68418585857713,-0.13474715725947,-0.506710066839252,0.207324814712118
"y_positive",1.75,4.94476998779295,-0.138757182275746,-0.528226428881768,0.216078641914592
"y_positive",1.875,5.20535411700876,-0.143035347010934,-0.548893674330561,0.227963608095079
"y_positive",2,5.46593824622458,-0.145776448767308,-0.569127094264682,0.237957037831219
"y_positive",2.125,5.7265223754404,-0.148690417012973,-0.585173174416983,0.250152719368746
"y_positive",2.25,5.98710650465622,-0.149805216902973,-0.60079880327605,0.261098293435021
"y_positive",2.375,6.24769063387204,-0.150832864200293,-0.613578387760241,0.268611908477198
"y_positive",2.5,6.50827476308785,-0.152986804036368,-0.624833977067694,0.280438631050564
"y_negative",-2.5,-6.73988360420406,-0.190454227418945,-0.689721102806803,0.312711986993898
"y_negative",-2.375,-6.46189701465949,-0.189987983966543,-0.676280816570079,0.298845661434358
"y_negative",-2.25,-6.18391042511492,-0.188971967088335,-0.661473399134434,0.29061299650936
"y_negative",-2.125,-5.90592383557035,-0.188123072475746,-0.654141826884544,0.272673640320918
"y_negative",-2,-5.62793724602578,-0.183628482698995,-0.642057844811567,0.251119931725406
"y_negative",-1.875,-5.34995065648121,-0.181648271189698,-0.628195198111909,0.245196232237609
"y_negative",-1.75,-5.07196406693664,-0.182035060047491,-0.609490945873078,0.22661316541093
"y_negative",-1.625,-4.79397747739207,-0.176808121144196,-0.592189806977885,0.214966291415847
"y_negative",-1.5,-4.5159908878475,-0.172831338465117,-0.570928617282508,0.199024310693861
"y_negative",-1.375,-4.23800429830294,-0.165664904616489,-0.54215846797602,0.188497672285492
"y_negative",-1.25,-3.96001770875837,-0.157816784431703,-0.524260142650516,0.167058636187946
"y_negative",-1.125,-3.6820311192138,-0.149763877189273,-0.495428743020457,0.154918769162662
"y_negative",-1,-3.40404452966923,-0.140541300965678,-0.464741514701962,0.147330105293508
"y_negative",-0.875,-3.12605794012466,-0.126655957933874,-0.43806578720539,0.136024962633719
"y_negative",-0.75,-2.84807135058009,-0.11505915311516,-0.407563494721594,0.129395224707739
"y_negative",-0.625,-2.57008476103552,-0.100169845576766,-0.373794351679171,0.117728906077404
"y_negative",-0.5,-2.29209817149095,-0.0852756189169061,-0.339602574482231,0.120391140643556
"y_negative",-0.375,-2.01411158194638,-0.0704368874369814,-0.307700722324863,0.130296807777037
"y_negative",-0.25,-1.73612499240181,-0.0531045273361802,-0.275873341531171,0.145655854682237
"y_negative",-0.125,-1.45813840285724,-0.030942082900737,-0.235594169077945,0.162794352890582
